t,x1,x2,x3,x4,x5,s,u,P,S
0.0,10.0,0.1,10.0,0.1,0.1,14.699999999999996,2.4377064869176825,0.8247573614071494,0.5145963260452816
0.1,9.69248072099766,0.12542858989381664,10.673207900450947,0.11881737046833131,0.106780698475005,14.283284719714237,-9.137239139708123e-9,-3.1548930284202733e-9,0.5155839248202939
0.2,10.10903876274873,0.16050610530215126,12.091601256882798,0.14688431214516323,0.12059028424011961,12.371379278681031,0.9778371766331719,0.3687851099539571,0.5147755235880496
0.30000000000000004,9.828151419577413,0.1875494128568082,12.711806950048567,0.16716512475666181,0.1259630337468672,11.979364059013678,1.4204927156865363,0.5450107610773789,0.5126677266155832
0.4,9.337515149904037,0.21111679022455307,13.060641798754359,0.18494910013210555,0.12853934243785636,12.077237818547085,1.4306442903231225,0.5465719805555068,0.5092523224180733
0.5,8.885862980688675,0.2351536019859567,13.44665628525258,0.20404100138975462,0.13147469876922352,12.096811431913808,1.3873142479410405,0.5295653303964388,0.5045613459224135
0.6000000000000001,8.47557937639542,0.25986140108445926,13.87309028530019,0.22454334945607157,0.13476554829398713,12.03216003946987,1.3854075669861445,0.5303303213107531,0.4987235538270064
0.7000000000000001,8.078273206901391,0.28455895720593033,14.296421729627243,0.24581365238286704,0.13796522966288532,11.95696722421968,1.4017750272973988,0.5383524649714052,0.4918717954914771
0.8,7.687005075518683,0.3089504037863159,14.702898756277209,0.2675920144602661,0.14094201207940846,11.892611737878116,1.417365888440728,0.5458603982281205,0.4841249534481421
0.9,7.3041164087629795,0.3330058777571587,15.094010745465464,0.2898545010979588,0.14371700991346276,11.835295457002973,1.4299889998115178,0.5520878780061607,0.4756001016616297
1.0,6.931715539973428,0.356715388322854,15.471513783668222,0.3125858461436288,0.14631224225983278,11.781157199632032,1.4415159523265244,0.5578388715215382,0.46641632485050843
1.1,6.570653547021087,0.3800378813284127,15.835258896010819,0.33573704308926805,0.14873055183206882,11.729582080718341,1.4527114487075095,0.5634200421258141,0.45669165034910886
1.2000000000000002,6.221387639084792,0.4029257215707639,16.18466044225821,0.3592493563816127,0.15097073875595654,11.680806101948662,1.4635349802890945,0.5688075996990355,0.44654007073414625
1.3,5.884316728088984,0.42533901192768286,16.51937281636964,0.3830678072513495,0.15303411062001593,11.634869525742324,1.4738830715148237,0.5739578378290584,0.4360699768071533
1.4000000000000001,5.559769840478951,0.44724567474029747,16.83926375581032,0.4071415974360829,0.1549240672151545,11.59165506431919,1.4837394890626412,0.5788647625778185,0.4253831792478525
1.5,5.247972438444387,0.46861925328811643,17.144311472989834,0.43142256050378996,0.15664503130028104,11.551029243473591,1.493118861595572,0.5835350086928762,0.41457411728431826
1.6,4.949047306160015,0.48943813481869386,17.434574726404417,0.4558649446238976,0.158202120799521,11.512872767193455,1.5020343022983007,0.5879745127686667,0.4037292665955303
1.7000000000000002,4.663026064517835,0.5096853952555064,17.71018995301869,0.48042574053125137,0.1596010844821366,11.47707176219458,1.5104967715291069,0.5921884526685993,0.39292678476252707
1.8,4.389859552851356,0.5293485724775624,17.971365701359023,0.5050649034288244,0.16084821409887035,11.443513055784365,1.5185180447687234,0.5961825082691714,0.38223637608528926
1.9000000000000001,4.129426980603002,0.5484193325744534,18.218373652750252,0.5297454355037716,0.16195022959622649,11.412084368972298,1.5261112068786316,0.5999630398569837,0.3717193407564149
2.0,3.881544698931024,0.5668930990923331,18.45153909607853,0.5544333943984211,0.16291416553668628,11.382675545963009,1.5332906247448104,0.6035370361155212,0.36142877580443433
2.1,3.645974746865637,0.5847686816420281,18.671232021409384,0.5790978616470915,0.16374726921358448,11.355179419222278,1.5400713346634787,0.606911839828614,0.3514098978615521
2.2,3.422433110302813,0.6020479228228364,18.877859252667907,0.6037108889553,0.1644569134430144,11.329491911808132,1.5464686698900456,0.6100949859794608,0.34170046062954684
2.3000000000000003,3.210597436155537,0.6187353473531562,19.071856934679108,0.6282474073624768,0.16505051734853624,11.305512357101186,1.5524984954699588,0.6130942736088656,0.33233124184001916
2.4000000000000004,3.010114160435156,0.6348378182067898,19.253683454307335,0.6526851060686176,0.1655354755130182,11.283143985469085,1.558176857190643,0.6159176027860797,0.3233265765000487
2.5,2.82060513937254,0.6503642261712071,19.423813512788847,0.6770043091505362,0.16591910109446303,11.26229371142241,1.563519496559086,0.6185727764297382,0.3147049170643048
2.6,2.641673623061662,0.665325189305946,19.582732530222614,0.7011878285343143,0.1662085752021394,11.242872253673326,1.5685423888694001,0.6210676984649793,0.3064794041990304
2.7,2.4729095855305094,0.6797327645281535,19.730931424647668,0.7252207989720202,0.16641090261999186,11.224794523701657,1.5732612734448224,0.6234101674008907,0.29865843365769906
2.8000000000000003,2.3138945371425583,0.6936001976239794,19.86890249433525,0.7490905247274543,0.16653287955699497,11.207979366613763,1.5776914310020622,0.6256077846586287,0.291246208738848
2.9000000000000004,2.164205740545481,0.7069416910148343,19.99713571987887,0.7727863189359735,0.1665810669925539,11.192349462632292,1.5818478962620082,0.6276680319579364,0.2842432700193611
3.0,2.023419858843674,0.7197721868494548,20.11611540829214,0.7962993363441769,0.16656176869604586,11.177831440974513,1.5857453266062644,0.6295982077016894,0.277646995789703
3.1,1.8911161102899843,0.732107174879632,20.22631743847153,0.8196224123898879,0.16648101578104374,11.164355848187926,1.5893979416158177,0.631405395866287,0.271452068946875
3.2,1.7668789721388976,0.743962529310692,20.328207181720483,0.842749915689605,0.1663445579167605,11.151856843223564,1.5928192809066934,0.6330963705656089,0.2656509077722272
